stimType,stimSide,response,responseRT,error,
0,-1,-1,1.344517437973991,0,
0,-1,-1,1.3406785890110768,0,
0,-1,-1,1.3487426589999814,0,
0,1,1,1.3531045300187543,0,
1,-1,1,2.146479935006937,0,
1,1,1,1.366491095017409,1,
0,1,1,1.341453498986084,0,
0,1,1,1.3537144580041058,0,
0,1,1,1.3521876760059968,0,
0,1,1,1.3494190439814702,0,
1,-1,1,1.333327719999943,0,
1,1,-1,1.3483401180128567,0,
1,-1,1,1.3663776000030339,0,
0,1,1,1.341763963981066,0,
1,-1,1,1.349951782001881,0,
1,1,-1,1.3506752800021786,0,
0,-1,-1,1.3499187889974564,0,
1,-1,1,1.4182951219845563,0,
1,1,-1,1.3461414789780974,0,
0,1,1,1.3525011299934704,0,
1,-1,1,1.3365431239944883,0,
1,-1,1,1.3510654989804607,0,
1,-1,1,1.351045982009964,0,
0,-1,-1,1.3489965240005404,0,
1,1,-1,1.3522964739822783,0,
0,1,1,1.3466289739881177,0,
1,1,-1,1.3536236560030375,0,
0,1,1,1.3380449520191178,0,
1,1,-1,1.354325335007161,0,
0,-1,-1,1.3521994019974954,0,
0,-1,-1,1.348171249992447,0,
0,1,1,1.3498053110088222,0,
1,-1,1,1.3486236470052972,0,
1,-1,1,1.3509016660100315,0,
0,-1,-1,1.3397746989794541,0,
0,-1,-1,1.3496853109973017,0,
1,1,-1,1.3365562969993334,0,
0,1,1,1.3507080529816449,0,
1,-1,1,1.3496978820185177,0,
1,-1,1,1.349788148974767,0,
1,1,-1,1.3511772349884268,0,
0,-1,-1,1.3366267020173836,0,
0,-1,-1,1.3520110429963097,0,
0,-1,-1,1.337330643000314,0,
0,1,1,1.3502634020114783,0,
0,1,1,1.3515767710050568,0,
1,-1,1,1.3510002969997004,0,
0,1,1,1.3489113640098367,0,
0,-1,-1,1.3489136330026668,0,
1,1,-1,1.349691001989413,0,
0,-1,-1,1.3397443800058682,0,
0,-1,-1,1.3503664629824925,0,
1,-1,-1,1.3684219070128165,1,
1,1,-1,1.3525848659919575,0,
0,1,1,1.3468711150053423,0,
1,-1,1,1.3500211859936826,0,
1,-1,1,1.3485804749943782,0,
1,-1,1,1.3386766320036259,0,
0,1,1,1.3500686490151566,0,
1,-1,1,1.3354147039935924,0,
0,1,-1,1.684575937979389,1,
0,1,1,1.3476499139796942,0,
0,-1,-1,1.3496374669775832,0,
1,1,-1,1.349902349000331,0,
0,-1,-1,1.3381422279926483,0,
1,-1,1,1.3506499509967398,0,
1,1,-1,1.3357738250051625,0,
1,-1,1,1.350578226003563,0,
0,-1,-1,1.3511666879931,0,
1,-1,1,1.3483995480055455,0,
1,1,-1,1.3505386569886468,0,
0,-1,-1,1.336112739983946,0,
1,-1,1,1.352627737011062,0,
1,-1,1,1.333760917012114,0,
1,-1,1,1.3500621669809334,0,
1,1,-1,1.3516397399944253,0,
0,-1,-1,1.3479336080199573,0,
1,-1,1,1.350451548001729,0,
1,-1,1,1.3375819170032628,0,
0,1,1,1.349499175004894,0,
0,-1,-1,1.3387887100107037,0,
0,-1,-1,1.3497360469773412,0,
0,-1,-1,1.3487593269965146,0,
0,-1,-1,1.350446197000565,0,
1,1,-1,1.3482030549785122,0,
0,-1,-1,1.3383969339774922,0,
1,-1,1,1.3505210170114879,0,
1,-1,1,1.3400805339915678,0,
1,-1,1,1.3497884300013538,0,
0,-1,-1,1.3538557519786991,0,
0,-1,-1,1.3491976799850818,0,
1,-1,1,1.348463898000773,0,
1,1,-1,1.3393371390120592,0,
0,1,1,1.3554339240072295,0,
0,1,1,1.3376979950116947,0,
1,-1,1,1.3481988970015664,0,
1,-1,1,1.3548241890093777,0,
0,-1,-1,1.3479267539805733,0,
0,-1,-1,1.348997197987046,0,
1,-1,1,1.34942408601637,0,
